No.,施設名称,所在地,経度,緯度,電話番号,定員,開設年月日,待機児童（0歳）,待機児童（1歳）,待機児童（2歳）,待機児童（3歳）,待機児童（4歳）,待機児童（5歳以上）
1,宮本第一保育園,千葉県船橋市宮本6－26－27,139.995581,35.697876,047-422-5639,126,昭和35年5月1日,0,0,0,0,0,0
2,宮本第二保育園,千葉県船橋市宮本8-9-10,140.000087,35.691441,047-423-1304,168,昭和50年4月1日,3,0,0,0,0,0
3,若松保育園,千葉県船橋市若松2-6-3,139.99428,35.679506,047-433-4041,168,昭和45年12月1日,0,0,0,0,0,0
4,湊町保育園,千葉県船橋市湊町1-16-23,139.985185,35.692708,047-431-4961,277,昭和29年6月10日,3,0,0,0,0,0
5,千鳥保育園,千葉県船橋市南本町13-1,139.977984,35.69625,047-431-5061,213,昭和28年4月20日,6,0,0,0,1,0
6,中央保育園,千葉県船橋市本町4-17-21,139.988965,35.699898,047-422-4762,209,昭和25年4月24日,3,2,1,0,0,0
7,本町保育園,千葉県船橋市本町6-7-18,139.987435,35.705237,047-424-7011,140,昭和53年4月1日,7,1,1,0,0,0
8,海神第一保育園,千葉県船橋市海神2-13-25,139.981539,35.704307,047-422-2462,244,昭和43年5月1日,5,1,0,0,0,0
9,海神第二保育園,千葉県船橋市本町1-23-7,139.981325,35.700053,047-435-0783,75,昭和50年4月1日,2,0,0,0,0,0
10,西船保育園,千葉県船橋市西船6-1-24,139.958156,35.713873,047-333-8187,150,昭和49年4月1日,6,1,1,0,0,0
11,本中山保育園,千葉県船橋市本中山5-6-1,139.942609,35.707213,047-333-6451,155,昭和53年4月1日,5,0,0,0,0,0
12,若葉保育園,千葉県船橋市藤原7-41-1,139.987151,35.743603,047-439-0472,163,昭和41年4月1日,16,4,6,1,0,0
13,行田保育園,千葉県船橋市行田3-1-2,139.969548,35.716985,047-439-5000,201,昭和52年4月1日,6,1,1,0,0,0
14,夏見第一保育園,千葉県船橋市夏見4-10-26,139.991754,35.712862,047-422-5198,147,昭和27年6月10日,1,1,3,0,0,0
15,夏見第二保育園,千葉県船橋市夏見台4-1-1,139.992056,35.722778,047-439-6231,150,昭和54年4月1日,7,1,1,0,0,0
16,高根保育園,千葉県船橋市新高根4-19-2,140.026793,35.731942,047-463-1418,165,昭和50年4月1日,6,0,2,0,1,1
17,金杉台保育園,千葉県船橋市金杉台1-1-6,140.011388,35.735233,047-447-0022,120,昭和47年4月1日,3,1,2,1,0,0
18,二和保育園,千葉県船橋市二和東5-50-1,140.025326,35.751535,047-447-0801,147,昭和45年10月1日,7,4,0,0,0,0
19,三山保育園,千葉県船橋市三山6-26-26,140.057952,35.701426,047-476-2701,162,昭和47年4月1日,4,0,2,0,2,0
20,二宮保育園,千葉県船橋市前原西6-1-12,140.019657,35.699908,047-472-1097,195,昭和38年7月1日,3,6,2,0,0,0
21,習志野台第一保育園,千葉県船橋市習志野台2-50-3,140.0463,35.723368,047-465-4124,248,昭和43年7月1日,23,7,1,0,0,0
22,習志野台第二保育園,千葉県船橋市習志野台6-7-1,140.049724,35.726667,047-464-3818,152,昭和48年4月1日,1,0,2,2,0,0
23,高根台保育園,千葉県船橋市高根台2-2-2,140.030804,35.734162,047-466-2611,200,昭和40年4月1日,2,0,4,2,0,0
24,緑台保育園,千葉県船橋市緑台2-4-11,140.01392,35.72848,047-447-9122,120,昭和50年4月1日,2,0,0,0,0,0
25,芝山第一保育園,千葉県船橋市芝山3-10-4,140.019471,35.717836,047-462-7575,187,昭和53年4月1日,6,2,4,1,0,0
26,小室保育園,千葉県船橋市小室町3305,140.076058,35.788097,047-457-1717,120,昭和55年4月1日,10,5,3,0,0,1
27,浜町保育園,千葉県船橋市浜町1-1-1,139.989395,35.69126,047-431-3262,143,昭和56年4月1日,1,0,1,0,0,0
